 Epoch  1 | Train acc. 0.2795 | Train loss 1.8685 | Val acc. 0.6354 | Val loss 0.9875 | test_acc 0.6229 | test loss 1.0039
 Epoch  2 | Train acc. 0.7060 | Train loss 0.7996 | Val acc. 0.7231 | Val loss 0.7485 | test_acc 0.7233 | test loss 0.7625
 Epoch  3 | Train acc. 0.7837 | Train loss 0.6093 | Val acc. 0.7782 | Val loss 0.5784 | test_acc 0.7828 | test loss 0.5925
 Epoch  4 | Train acc. 0.8176 | Train loss 0.5165 | Val acc. 0.8194 | Val loss 0.4994 | test_acc 0.8193 | test loss 0.5135
 Epoch  5 | Train acc. 0.8344 | Train loss 0.4637 | Val acc. 0.8354 | Val loss 0.4543 | test_acc 0.8342 | test loss 0.4737
 Epoch  6 | Train acc. 0.8480 | Train loss 0.4260 | Val acc. 0.8453 | Val loss 0.4288 | test_acc 0.8409 | test loss 0.4524
 Epoch  7 | Train acc. 0.8572 | Train loss 0.3982 | Val acc. 0.8504 | Val loss 0.4105 | test_acc 0.8461 | test loss 0.4355
 Epoch  8 | Train acc. 0.8640 | Train loss 0.3766 | Val acc. 0.8568 | Val loss 0.3908 | test_acc 0.8523 | test loss 0.4165
 Epoch  9 | Train acc. 0.8708 | Train loss 0.3592 | Val acc. 0.8600 | Val loss 0.3782 | test_acc 0.8566 | test loss 0.4044
 Epoch 10 | Train acc. 0.8757 | Train loss 0.3437 | Val acc. 0.8665 | Val loss 0.3652 | test_acc 0.8612 | test loss 0.3921
 Epoch 11 | Train acc. 0.8804 | Train loss 0.3305 | Val acc. 0.8685 | Val loss 0.3575 | test_acc 0.8633 | test loss 0.3829
 Epoch 12 | Train acc. 0.8846 | Train loss 0.3184 | Val acc. 0.8700 | Val loss 0.3526 | test_acc 0.8671 | test loss 0.3754
 Epoch 13 | Train acc. 0.8878 | Train loss 0.3081 | Val acc. 0.8730 | Val loss 0.3477 | test_acc 0.8694 | test loss 0.3695
