 Epoch  1 | Train acc. 0.1007 | Train loss 2.3091 | Val acc. 0.1034 | Val loss 2.3112 | test_acc 0.1000 | test loss 2.3096
 Epoch  2 | Train acc. 0.0998 | Train loss 2.3081 | Val acc. 0.1034 | Val loss 2.3101 | test_acc 0.1000 | test loss 2.3083
 Epoch  3 | Train acc. 0.0993 | Train loss 2.3072 | Val acc. 0.1034 | Val loss 2.3089 | test_acc 0.1000 | test loss 2.3072
 Epoch  4 | Train acc. 0.1010 | Train loss 2.3063 | Val acc. 0.1034 | Val loss 2.3075 | test_acc 0.1000 | test loss 2.3058
 Epoch  5 | Train acc. 0.1047 | Train loss 2.3038 | Val acc. 0.1034 | Val loss 2.3007 | test_acc 0.1000 | test loss 2.2989
 Epoch  6 | Train acc. 0.1819 | Train loss 2.1805 | Val acc. 0.2162 | Val loss 1.8714 | test_acc 0.2202 | test loss 1.8652
 Epoch  7 | Train acc. 0.2949 | Train loss 1.6682 | Val acc. 0.3324 | Val loss 1.5640 | test_acc 0.3311 | test loss 1.5603
 Epoch  8 | Train acc. 0.4237 | Train loss 1.4667 | Val acc. 0.4860 | Val loss 1.3029 | test_acc 0.4921 | test loss 1.3021
 Epoch  9 | Train acc. 0.5878 | Train loss 1.1257 | Val acc. 0.6168 | Val loss 1.0044 | test_acc 0.6142 | test loss 1.0119
 Epoch 10 | Train acc. 0.6354 | Train loss 0.9444 | Val acc. 0.6461 | Val loss 0.8862 | test_acc 0.6358 | test loss 0.8972
 Epoch 11 | Train acc. 0.6663 | Train loss 0.8526 | Val acc. 0.6867 | Val loss 0.8150 | test_acc 0.6864 | test loss 0.8277
 Epoch 12 | Train acc. 0.6946 | Train loss 0.7910 | Val acc. 0.7087 | Val loss 0.7638 | test_acc 0.7059 | test loss 0.7774
 Epoch 13 | Train acc. 0.7191 | Train loss 0.7417 | Val acc. 0.7214 | Val loss 0.7204 | test_acc 0.7223 | test loss 0.7343
 Epoch 14 | Train acc. 0.7390 | Train loss 0.6973 | Val acc. 0.7470 | Val loss 0.6793 | test_acc 0.7453 | test loss 0.6933
 Epoch 15 | Train acc. 0.7561 | Train loss 0.6552 | Val acc. 0.7692 | Val loss 0.6404 | test_acc 0.7618 | test loss 0.6543
 Epoch 16 | Train acc. 0.7709 | Train loss 0.6177 | Val acc. 0.7853 | Val loss 0.6076 | test_acc 0.7764 | test loss 0.6217
 Epoch 17 | Train acc. 0.7843 | Train loss 0.5868 | Val acc. 0.7953 | Val loss 0.5813 | test_acc 0.7879 | test loss 0.5956
 Epoch 18 | Train acc. 0.7963 | Train loss 0.5618 | Val acc. 0.8023 | Val loss 0.5602 | test_acc 0.7982 | test loss 0.5751
 Epoch 19 | Train acc. 0.8061 | Train loss 0.5417 | Val acc. 0.8090 | Val loss 0.5430 | test_acc 0.8052 | test loss 0.5589
 Epoch 20 | Train acc. 0.8139 | Train loss 0.5252 | Val acc. 0.8130 | Val loss 0.5286 | test_acc 0.8099 | test loss 0.5457
 Epoch 21 | Train acc. 0.8193 | Train loss 0.5112 | Val acc. 0.8177 | Val loss 0.5161 | test_acc 0.8141 | test loss 0.5343
 Epoch 22 | Train acc. 0.8239 | Train loss 0.4988 | Val acc. 0.8225 | Val loss 0.5049 | test_acc 0.8172 | test loss 0.5244
 Epoch 23 | Train acc. 0.8282 | Train loss 0.4877 | Val acc. 0.8260 | Val loss 0.4949 | test_acc 0.8217 | test loss 0.5156
 Epoch 24 | Train acc. 0.8323 | Train loss 0.4778 | Val acc. 0.8297 | Val loss 0.4859 | test_acc 0.8247 | test loss 0.5076
 Epoch 25 | Train acc. 0.8353 | Train loss 0.4688 | Val acc. 0.8322 | Val loss 0.4776 | test_acc 0.8263 | test loss 0.5003
 Epoch 26 | Train acc. 0.8384 | Train loss 0.4606 | Val acc. 0.8347 | Val loss 0.4701 | test_acc 0.8276 | test loss 0.4937
 Epoch 27 | Train acc. 0.8410 | Train loss 0.4531 | Val acc. 0.8376 | Val loss 0.4632 | test_acc 0.8288 | test loss 0.4876
 Epoch 28 | Train acc. 0.8433 | Train loss 0.4462 | Val acc. 0.8396 | Val loss 0.4570 | test_acc 0.8311 | test loss 0.4820
 Epoch 29 | Train acc. 0.8455 | Train loss 0.4400 | Val acc. 0.8414 | Val loss 0.4513 | test_acc 0.8327 | test loss 0.4769
 Epoch 30 | Train acc. 0.8476 | Train loss 0.4342 | Val acc. 0.8432 | Val loss 0.4461 | test_acc 0.8342 | test loss 0.4723
 Epoch 31 | Train acc. 0.8492 | Train loss 0.4290 | Val acc. 0.8466 | Val loss 0.4414 | test_acc 0.8351 | test loss 0.4681
 Epoch 32 | Train acc. 0.8509 | Train loss 0.4241 | Val acc. 0.8483 | Val loss 0.4371 | test_acc 0.8355 | test loss 0.4642
 Epoch 33 | Train acc. 0.8525 | Train loss 0.4197 | Val acc. 0.8489 | Val loss 0.4332 | test_acc 0.8366 | test loss 0.4607
 Epoch 34 | Train acc. 0.8538 | Train loss 0.4157 | Val acc. 0.8494 | Val loss 0.4295 | test_acc 0.8375 | test loss 0.4575
