 Epoch  1 | Train acc. 0.0989 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  2 | Train acc. 0.0988 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  3 | Train acc. 0.0988 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3026
 Epoch  4 | Train acc. 0.0991 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3026
 Epoch  5 | Train acc. 0.1004 | Train loss 2.3027 | Val acc. 0.1004 | Val loss 2.3021 | test_acc 0.1001 | test loss 2.3020
 Epoch  6 | Train acc. 0.2303 | Train loss 1.9249 | Val acc. 0.5318 | Val loss 1.1631 | test_acc 0.5236 | test loss 1.1833
 Epoch  7 | Train acc. 0.5837 | Train loss 1.0298 | Val acc. 0.6634 | Val loss 0.9030 | test_acc 0.6596 | test loss 0.9146
 Epoch  8 | Train acc. 0.6854 | Train loss 0.8417 | Val acc. 0.7188 | Val loss 0.7643 | test_acc 0.7151 | test loss 0.7805
 Epoch  9 | Train acc. 0.7494 | Train loss 0.6921 | Val acc. 0.7622 | Val loss 0.6524 | test_acc 0.7586 | test loss 0.6728
 Epoch 10 | Train acc. 0.7928 | Train loss 0.5843 | Val acc. 0.7955 | Val loss 0.5544 | test_acc 0.7958 | test loss 0.5783
 Epoch 11 | Train acc. 0.8233 | Train loss 0.4976 | Val acc. 0.8347 | Val loss 0.4624 | test_acc 0.8320 | test loss 0.4880
 Epoch 12 | Train acc. 0.8412 | Train loss 0.4458 | Val acc. 0.8466 | Val loss 0.4257 | test_acc 0.8417 | test loss 0.4550
 Epoch 13 | Train acc. 0.8515 | Train loss 0.4138 | Val acc. 0.8491 | Val loss 0.4131 | test_acc 0.8457 | test loss 0.4417
 Epoch 14 | Train acc. 0.8600 | Train loss 0.3876 | Val acc. 0.8580 | Val loss 0.3934 | test_acc 0.8525 | test loss 0.4222
 Epoch 15 | Train acc. 0.8672 | Train loss 0.3672 | Val acc. 0.8613 | Val loss 0.3854 | test_acc 0.8544 | test loss 0.4154
