 Epoch  1 | Train acc. 0.0988 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  2 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  3 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  4 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  5 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  6 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  7 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  8 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch  9 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 10 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 11 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 12 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 13 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 14 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 15 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 16 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 17 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 18 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 19 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 20 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 21 | Train acc. 0.0987 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 22 | Train acc. 0.0983 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 23 | Train acc. 0.0984 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 24 | Train acc. 0.0984 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3027
 Epoch 25 | Train acc. 0.0982 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3026
 Epoch 26 | Train acc. 0.0978 | Train loss 2.3029 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3026
 Epoch 27 | Train acc. 0.0979 | Train loss 2.3028 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3026
 Epoch 28 | Train acc. 0.0975 | Train loss 2.3028 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3026
 Epoch 29 | Train acc. 0.0979 | Train loss 2.3028 | Val acc. 0.1004 | Val loss 2.3028 | test_acc 0.1001 | test loss 2.3026
 Epoch 30 | Train acc. 0.0976 | Train loss 2.3028 | Val acc. 0.1004 | Val loss 2.3027 | test_acc 0.1001 | test loss 2.3026
 Epoch 31 | Train acc. 0.0978 | Train loss 2.3028 | Val acc. 0.1004 | Val loss 2.3027 | test_acc 0.1001 | test loss 2.3026
 Epoch 32 | Train acc. 0.0981 | Train loss 2.3028 | Val acc. 0.1004 | Val loss 2.3027 | test_acc 0.1001 | test loss 2.3026
 Epoch 33 | Train acc. 0.0980 | Train loss 2.3028 | Val acc. 0.1004 | Val loss 2.3027 | test_acc 0.1001 | test loss 2.3026
 Epoch 34 | Train acc. 0.0984 | Train loss 2.3028 | Val acc. 0.1004 | Val loss 2.3027 | test_acc 0.1001 | test loss 2.3026
 Epoch 35 | Train acc. 0.0984 | Train loss 2.3028 | Val acc. 0.0926 | Val loss 2.3027 | test_acc 0.1001 | test loss 2.3026
 Epoch 36 | Train acc. 0.0986 | Train loss 2.3028 | Val acc. 0.0926 | Val loss 2.3027 | test_acc 0.1001 | test loss 2.3026
 Epoch 37 | Train acc. 0.0983 | Train loss 2.3028 | Val acc. 0.0926 | Val loss 2.3027 | test_acc 0.1001 | test loss 2.3026
